K,f_obj
3,0.005537049379199743
5,0.006378007121384144
7,0.00683937780559063
10,0.007219428196549416
13,0.007314850576221943
15,0.0074737826362252235
20,0.0075265164487063885
25,0.007625325117260218
31,0.007681307848542929
