K,f_obj
3,0.0007529663853347301
5,0.0008521937998011708
7,0.0008903920534066856
10,0.0009124379721470177
13,0.0009327251464128494
15,0.0009462281595915556
18,0.0009540991741232574
20,0.0009606275125406682
25,0.0009634161833673716
