K,f_obj
3,0.011172566562891
5,0.0128575796261429
7,0.0137412250041961
10,0.0143378358334302913
13,0.014696826227009296
15,0.014843646436929703
20,0.01511197816580534
25,0.015274619683623314
31,0.015408017672598362
