K,f_obj
3,0.0027102497406303883
5,0.0032295456621795893
7,0.0034287357702851295
10,0.003550412133336067
13,0.003670149017125368
15,0.0036691941786557436
18,0.003688775235787034
20,0.003733412129804492
25,0.003749626222997904
31,0.0037845417391508818
