K,f_obj
3,0.0006954839336685836
5,0.0008108614711090922
7,0.0008848921861499548
10,0.0009070814121514559
13,0.0009182117646560073
15,0.0009316830546595156
18,0.0009431512444280088
20,0.0009523890330456197
25,0.0009588128887116909
31,0.0009766246657818556
